CBSA_Name,NatWalkInd,D4A,Composite_VMT
"Aberdeen, SD",7.504761904771429,-99999.0,7391419.828571429
"Aberdeen, WA",10.134408602145163,-31940.610161290322,4043594.435483871
"Abilene, TX",7.265476190464286,-99999.0,25433343.307142857
"Ada, OK",7.00520833346875,-99999.0,8410381.53125
"Adrian, MI",5.967078189320988,-99999.0,12858951.111111112
"Aguadilla-Isabela, PR",3.596573208724299,-99999.0,0.0
"Akron, OH",7.407716049444445,-99811.67335185184,110057483.41111112
"Alamogordo, NM",6.386524822914894,-99999.0,6649505.765957447
"Albany, GA",6.950793650609524,-99999.0,21024120.22857143
"Albany-Lebanon, OR",8.952380952297618,-54526.62892857143,20186115.166666668
"Albany-Schenectady-Troy, NY",9.656490649039604,-49752.63658415841,64989884.927392736
"Albemarle, NC",6.173913043456522,-99999.0,12452159.543478262
"Albert Lea, MN",6.440860214709677,-99999.0,8535299.483870968
"Albertville, AL",5.746153846107692,-99999.0,16180422.707692308
"Albuquerque, NM",11.1350782190361,-34454.4328700361,91683695.88267148
"Alexander City, AL",4.709219858170213,-99999.0,5226608.872340426
"Alexandria, LA",6.077380952348214,-99999.0,16956115.23214286
"Alexandria, MN",6.43333333332,-99999.0,10881450.96
"Alice, TX",6.650406504073171,-99999.0,9235128.07317073
"Allentown-Bethlehem-Easton, PA-NJ",10.193674484722814,-50932.35025586354,97029537.98933902
"Alma, MI",5.463963963972972,-99999.0,8237796.918918919
"Alpena, MI",6.299019608117647,-99999.0,2928124.7352941176
"Altoona, PA",8.196969697218181,-99999.0,21449323.48181818
"Altus, OK",7.311594202695653,-99999.0,4911508.521739131
"Amarillo, TX",10.608877721874372,-36306.65396984924,52839111.98492462
"Americus, GA",6.224137930862069,-99999.0,5017746.482758621
"Ames, IA",7.320675105493671,-99999.0,42173751.594936706
"Amsterdam, NY",5.825203252024391,-99999.0,12870945.658536585
"Anchorage, AK",9.739803094101266,-43576.55345991561,35633434.729957804
"Andrews, TX",8.833333333545454,-99999.0,14054903.181818182
"Angola, IN",5.575268817483871,-99999.0,12392983.41935484
"Ann Arbor, MI",9.816593886489082,-42050.40358078603,128566676.32751092
"Anniston-Oxford, AL",5.637037037022222,-99999.0,14446179.688888889
"Appleton, WI",7.344720496956521,-99999.0,94788711.77639751
"Arcadia, FL",6.012820512884615,-99999.0,6626186.846153846
"Ardmore, OK",7.274305555666667,-99999.0,10137082.6875
"Arecibo, PR",3.577956989290323,-99999.0,0.0
"Arkadelphia, AR",6.315789473842105,-99999.0,5726216.7894736845
