OBJECTID,GEOID10,GEOID20,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CSA,CSA_Name,CBSA,CBSA_Name,CBSA_POP,CBSA_EMP,CBSA_WRK,Ac_Total,Ac_Water,Ac_Land,Ac_Unpr,TotPop,CountHU,HH,P_WrkAge,AutoOwn0,Pct_AO0,AutoOwn1,Pct_AO1,AutoOwn2p,Pct_AO2p,Workers,R_LowWageWk,R_MedWageWk,R_HiWageWk,R_PCTLOWWAGE,TotEmp,E5_Ret,E5_Off,E5_Ind,E5_Svc,E5_Ent,E8_Ret,E8_off,E8_Ind,E8_Svc,E8_Ent,E8_Ed,E8_Hlth,E8_Pub,E_LowWageWk,E_MedWageWk,E_HiWageWk,E_PctLowWage,D1A,D1B,D1C,D1C5_RET,D1C5_OFF,D1C5_IND,D1C5_SVC,D1C5_ENT,D1C8_RET,D1C8_OFF,D1C8_IND,D1C8_SVC,D1C8_ENT,D1C8_ED,D1C8_HLTH,D1C8_PUB,D1D,D1_FLAG,D2A_JPHH,D2B_E5MIX,D2B_E5MIXA,D2B_E8MIX,D2B_E8MIXA,D2A_EPHHM,D2C_TRPMX1,D2C_TRPMX2,D2C_TRIPEQ,D2R_JOBPOP,D2R_WRKEMP,D2A_WRKEMP,D2C_WREMLX,D3A,D3AAO,D3AMM,D3APO,D3B,D3BAO,D3BMM3,D3BMM4,D3BPO3,D3BPO4,D4A,D4B025,D4B050,D4C,D4D,D4E,D5AR,D5AE,D5BR,D5BE,D5CR,D5CRI,D5CE,D5CEI,D5DR,D5DRI,D5DE,D5DEI,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,NatWalkInd,Shape_Length,Shape_Area,D1A_scaled,D3B_scaled,D4A_scaled,Composite_VMT_scaled,Walkability_Category,Composite_VMT
15,483290000000.0,483290000000.0,48,329,304,3,372.0,"Midland-Odessa, TX",33260.0,"Midland, TX",169808,95348,74566,108.7902228,0.0,108.7902228,108.79022,1004,608.0,555.0,0.753,0,0.0,251,0.452252252,304,0.547747748,548,72,145,331,0.131386861,291,38,34,17,202,0,38,34,17,161,0,0,41,0,109,125,57,0.374570447,5.588737664,9.228770748,2.674872796,0.349296104,0.312528093,0.156264047,1.856784553,0.0,0.349296104,0.312528093,0.156264047,1.479912441,0.0,0.0,0.376872112,0.0,8.263610461,0,0.524324324,0.675185833,0.581573421,0.799163458,0.618533362,0.599957518,0.523950402,0.573727439,0.855500531,0.449420849,0.693682956,1.883161512,0.413473641,16.86616548,0.0,2.578013666,14.28815181,80.41310859,0.0,17.6486448,17.6486448,23.5315264,35.2972896,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,40808,38095,-99999,-99999,0.011019858,0.903971823,0.011762864,0.933083499,-99999.0,-99999.0,-99999.0,-99999.0,13,12,12,1,8.5,2702.380332,440266.9662,1.6540443205472737,0.278537248760798,-0.7442361003629433,-0.2269810596700612,Medium,52056877
16,483290000000.0,483290000000.0,48,329,305,2,372.0,"Midland-Odessa, TX",33260.0,"Midland, TX",169808,95348,74566,153.2234977,0.0,153.2234977,149.32114,960,347.0,347.0,0.572,0,0.0,82,0.236311239,265,0.763688761,495,95,114,286,0.191919192,501,130,36,68,184,83,130,36,68,120,83,3,61,0,191,190,120,0.381237525,2.323850461,6.429096376,3.355184671,0.870606801,0.241091114,0.455394327,1.232243472,0.555848957,0.870606801,0.241091114,0.455394327,0.803637047,0.555848957,0.020090926,0.408515499,0.0,5.679035132,0,1.443804035,0.917113955,0.917113955,0.892895857,0.835558526,0.864296465,0.793213267,0.860157232,0.500771486,0.685831622,0.993975904,0.988023952,0.98809538,16.3286539,0.951075386,0.165537625,15.21204089,91.92114925,0.0,0.0,0.0,87.71500587,33.41524033,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,40020,36683,-99999,-99999,0.010807065,0.886516182,0.011326871,0.898498543,-99999.0,-99999.0,-99999.0,-99999.0,20,20,14,1,11.66666667,3161.264393,620086.9883,0.1121963095517638,0.4782609717115618,-0.7442361003629433,-0.2420556144976574,High,56797383
37,481130000000.0,481130000000.0,48,113,18124,1,206.0,"Dallas-Fort Worth, TX-OK",19100.0,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,3862.366973,32.4654806,3829.901493,3408.05286,8441,2912.0,2745.0,0.622,41,0.014936248,349,0.127140255,2355,0.857923497,3588,691,856,2041,0.192586399,331,18,23,107,177,6,18,23,107,89,6,0,88,0,84,157,90,0.253776435,0.854446841,2.476780833,0.097122907,0.005281608,0.006748722,0.031396227,0.051935814,0.001760536,0.005281608,0.006748722,0.031396227,0.026114618,0.001760536,0.0,0.025821196,0.0,0.951569748,0,0.120582878,0.693485584,0.693485584,0.829781689,0.71498485,0.257616169,0.317686811,0.333330639,0.024715061,0.075467396,0.168920643,10.83987915,5.32837e-05,8.684081255,1.51623409,1.55778409,5.610063075,29.92352681,1.336849005,8.02109403,0.835530628,26.56987397,6.015820522,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,183378,168847,-99999,-99999,0.000168298,0.332369094,0.000198865,0.46779538,-99999.0,-99999.0,-99999.0,-99999.0,4,16,7,1,6.0,21248.82418,15630789.48,-0.5817318135285121,-0.5977168018856172,-0.7442361003629433,2.5004038156730655,Medium,1603782055
42,483397000000.0,483397000000.0,48,339,694201,3,288.0,"Houston-The Woodlands, TX",26420.0,"Houston-The Woodlands-Sugar Land, TX",6779104,2975382,2886903,3620.350562,1441.682217,2178.668345,2178.668345,2752,1391.0,1049.0,0.555,16,0.015252622,298,0.284080076,735,0.700667302,1703,365,599,739,0.214327657,189,0,5,42,61,81,0,5,42,42,81,1,18,0,61,81,47,0.322751323,0.6384634,1.263156922,0.086750239,0.0,0.00229498,0.019277831,0.027998754,0.037178674,0.0,0.00229498,0.019277831,0.019277831,0.037178674,0.000458996,0.008261928,0.0,0.72521364,0,0.180171592,0.835645551,0.719785899,0.769843255,0.663338649,0.375386121,0.482562871,0.520444846,0.330103155,0.128527712,0.199788584,9.010582011,0.000331931,9.636501882,0.002723267,0.762508699,8.871269916,31.05339101,0.0,2.643816813,2.937574236,36.42592053,2.056301966,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,17321,20291,-99999,-99999,2.46049e-05,0.031668285,3.70979e-05,0.060102783,-99999.0,-99999.0,-99999.0,-99999.0,7,14,8,1,6.5,17446.46873,14651358.14,-0.683730326251347,-0.5781078440169554,-0.7442361003629433,-0.67629079220274,Medium,51502391
43,483397000000.0,483397000000.0,48,339,690202,5,288.0,"Houston-The Woodlands, TX",26420.0,"Houston-The Woodlands-Sugar Land, TX",6779104,2975382,2886903,2800.11249,11.6539773,2788.458513,2788.458513,2235,704.0,704.0,0.614,2,0.002840909,20,0.028409091,682,0.96875,1035,188,244,603,0.181642512,280,17,18,211,31,3,17,18,211,26,3,0,5,0,84,81,115,0.3,0.252469239,0.801518111,0.100413902,0.006096558,0.006455179,0.075669048,0.011117253,0.001075863,0.006096558,0.006455179,0.075669048,0.009324148,0.001075863,0.0,0.001793105,0.0,0.352883142,0,0.397727273,0.529373512,0.529373512,0.502806184,0.433245044,0.468611629,0.42232224,0.375202037,0.050199381,0.222664016,0.425855513,3.696428571,0.067445962,5.124873002,0.0,1.01444753,4.110425472,7.730378595,0.0,1.836139923,0.918069962,8.033112165,0.22951749,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,63976,62980,-99999,-99999,9.08796e-05,0.11696843,0.000115146,0.18654937,-99999.0,-99999.0,-99999.0,-99999.0,9,6,5,1,4.5,19650.80385,11331901.16,-0.8660166633863241,-0.9828821238074024,-0.7442361003629433,0.2162261563778419,Low,160620760
77,483550000000.0,483550000000.0,48,355,3601,2,204.0,"Corpus Christi-Kingsville-Alice, TX",18580.0,"Corpus Christi, TX",427532,175189,172043,131.0252692,0.0,131.0252692,131.0252692,977,473.0,454.0,0.663,70,0.154185022,173,0.381057269,211,0.464757709,576,124,199,253,0.215277778,85,5,28,28,24,0,5,28,28,24,0,0,0,0,9,36,40,0.105882353,3.609990675,7.456576933,0.648729825,0.038160578,0.213699237,0.213699237,0.183170774,0.0,0.038160578,0.213699237,0.213699237,0.183170774,0.0,0.0,0.0,0.0,4.2587205,0,0.18722467,0.905515373,0.779968488,0.905515373,0.603676915,0.393800273,0.327877899,0.335223594,0.017878706,0.16007533,0.257186082,6.776470588,0.003099636,13.68431284,0.114877517,1.048688741,12.52074658,65.15506552,0.0,0.0,0.0,83.03741764,9.769107958,556.56,0.0,0.0,2.0,9.769107958,0.002047083,26919,25196,7818,5957,0.002674908,0.469979224,0.002670429,0.499494479,0.001055555,0.091856517,0.000926941,0.077056411,7,12,11,15,11.83333333,3208.932285,530253.6295,0.7195780068413652,0.0137316874217837,1.344390314488523,-0.4926796535793036,High,28441523
88,484391000000.0,484391000000.0,48,439,100400,2,206.0,"Dallas-Fort Worth, TX-OK",19100.0,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,99.096984,0.0,99.096984,99.096984,821,249.0,202.0,0.438,23,0.113861386,50,0.247524752,129,0.638613861,461,109,201,151,0.236442516,139,88,26,1,24,0,88,26,1,14,0,0,10,0,38,75,26,0.273381295,2.512689993,8.284813189,1.402666301,0.888018953,0.262369236,0.010091124,0.242186987,0.0,0.888018953,0.262369236,0.010091124,0.141275743,0.0,0.0,0.100911245,0.0,3.915356294,0,0.688118812,0.679324798,0.585138532,0.658002964,0.509278523,0.658528314,0.602544883,0.668871292,0.822894286,0.289583333,0.463333333,3.316546763,0.098613534,26.46260386,0.0,4.824725959,21.6378779,129.1793098,0.0,12.91663932,12.91663932,25.83327864,90.41647524,333.94,0.0,0.0,3.33,21.50620447,0.004056029,203476,173046,39536,20301,0.000186743,0.368796332,0.00020381,0.479428828,0.000153362,0.053945487,0.000180456,0.052249985,15,8,16,17,14.83333333,2593.409075,401041.4206,0.201376069435653,1.1248817784322145,1.3397663035191223,2.8848814843596484,High,191107190
106,483550000000.0,483550000000.0,48,355,5404,1,204.0,"Corpus Christi-Kingsville-Alice, TX",18580.0,"Corpus Christi, TX",427532,175189,172043,1220.281111,77.0833392,1143.197772,1143.197772,2305,886.0,828.0,0.593,0,0.0,201,0.242753623,627,0.757246377,982,190,259,533,0.193482688,32,0,0,25,7,0,0,0,25,1,0,0,6,0,3,20,9,0.09375,0.775019005,2.016274049,0.027991657,0.0,0.0,0.021868482,0.006123175,0.0,0.0,0.0,0.021868482,0.000874739,0.0,0.0,0.005248436,0.0,0.803010662,0,0.038647343,0.757878463,0.326400488,0.559828313,0.295768961,0.162494315,0.079894743,0.068663084,4e-15,0.027385537,0.063116371,30.6875,1.28e-13,5.816177409,0.712331452,0.66517411,4.438671848,13.44215356,10.07699655,1.679499425,0.559833142,16.79499425,0.559833142,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,28502,31903,-99999,-99999,0.002832209,0.497616844,0.003381278,0.632456436,-99999.0,-99999.0,-99999.0,-99999.0,2,4,6,1,3.333333333,10298.33068,4938408.068,-0.6192417314337152,-0.8837534367988559,-0.7442361003629433,-0.4623966329040692,Low,66718006
290,481080000000.0,481080000000.0,48,107,950100,2,352.0,"Lubbock-Plainview-Levelland, TX",31180.0,"Lubbock, TX",313123,152685,141710,596.7084466,0.0,596.7084466,596.7084466,505,241.0,176.0,0.529,16,0.090909091,68,0.386363636,92,0.522727273,203,58,80,65,0.285714286,201,37,23,20,119,2,37,15,20,2,2,0,117,8,48,101,52,0.23880597,0.403882334,0.846309455,0.336847922,0.062006831,0.038544787,0.033517206,0.199427376,0.003351721,0.062006831,0.025137905,0.033517206,0.003351721,0.003351721,0.0,0.196075656,0.013406882,0.740730255,0,1.142045455,0.711682973,0.711682973,0.652580467,0.610674996,0.726453205,0.60154047,0.650725163,0.55548718,0.569405099,0.995049505,1.009950249,0.990099091,11.30601377,0.242607056,2.489871628,8.573535088,62.21973262,1.072550596,8.580404767,13.94315775,26.8137649,24.66866371,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,2148,2060,-99999,-99999,0.000234494,0.036409248,0.000258657,0.040773509,-99999.0,-99999.0,-99999.0,-99999.0,17,12,11,1,8.833333333,7829.628837,2414846.015,-0.794511596029048,-0.0372114428823682,-0.7442361003629433,-0.9665524932168472,Medium,1498800
400,481080000000.0,481080000000.0,48,107,950100,3,352.0,"Lubbock-Plainview-Levelland, TX",31180.0,"Lubbock, TX",313123,152685,141710,523.399807,0.0,523.399807,515.06497,1253,564.0,451.0,0.54,34,0.075388027,146,0.323725055,271,0.600886918,510,133,197,180,0.260784314,114,23,39,35,6,11,23,5,35,6,11,0,0,34,42,58,14,0.368421053,1.09500749,2.43270281,0.221331301,0.044654561,0.075718603,0.067952592,0.011649016,0.021356529,0.044654561,0.009707513,0.067952592,0.011649016,0.021356529,0.0,0.0,0.06601109,1.316338791,0,0.252771619,0.890398932,0.890398932,0.87291548,0.752151261,0.442018588,0.454027532,0.472837117,0.069295265,0.166788588,0.365384615,4.473684211,0.0310026,16.19624787,0.0,1.817977786,14.37827009,81.93445895,1.22277462,4.891098479,9.782196958,20.78716854,55.02485789,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,2048,2085,-99999,-99999,0.000223578,0.034714218,0.000261796,0.041268333,-99999.0,-99999.0,-99999.0,-99999.0,8,17,13,1,8.833333333,7095.366226,2118171.795,-0.4681266764678433,0.304940505995352,-0.7442361003629433,-0.9684655077888772,Medium,2803834
