OBJECTID,GEOID10,GEOID20,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CSA,CSA_Name,CBSA,CBSA_Name,CBSA_POP,CBSA_EMP,CBSA_WRK,Ac_Total,Ac_Water,Ac_Land,Ac_Unpr,TotPop,CountHU,HH,P_WrkAge,AutoOwn0,Pct_AO0,AutoOwn1,Pct_AO1,AutoOwn2p,Pct_AO2p,Workers,R_LowWageWk,R_MedWageWk,R_HiWageWk,R_PCTLOWWAGE,TotEmp,E5_Ret,E5_Off,E5_Ind,E5_Svc,E5_Ent,E8_Ret,E8_off,E8_Ind,E8_Svc,E8_Ent,E8_Ed,E8_Hlth,E8_Pub,E_LowWageWk,E_MedWageWk,E_HiWageWk,E_PctLowWage,D1A,D1B,D1C,D1C5_RET,D1C5_OFF,D1C5_IND,D1C5_SVC,D1C5_ENT,D1C8_RET,D1C8_OFF,D1C8_IND,D1C8_SVC,D1C8_ENT,D1C8_ED,D1C8_HLTH,D1C8_PUB,D1D,D1_FLAG,D2A_JPHH,D2B_E5MIX,D2B_E5MIXA,D2B_E8MIX,D2B_E8MIXA,D2A_EPHHM,D2C_TRPMX1,D2C_TRPMX2,D2C_TRIPEQ,D2R_JOBPOP,D2R_WRKEMP,D2A_WRKEMP,D2C_WREMLX,D3A,D3AAO,D3AMM,D3APO,D3B,D3BAO,D3BMM3,D3BMM4,D3BPO3,D3BPO4,D4A,D4B025,D4B050,D4C,D4D,D4E,D5AR,D5AE,D5BR,D5BE,D5CR,D5CRI,D5CE,D5CEI,D5DR,D5DRI,D5DE,D5DEI,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,NatWalkInd,Shape_Length,Shape_Area,D1A_scaled,D3B_scaled,D4A_scaled,Composite_VMT_scaled,Walkability_Category,Composite_VMT
26534,40270116003.0,40270116003.0,4,27,11600,3,,,49740.0,"Yuma, AZ",207829,57963,62847,7139.528994,59.0237886,7080.505205,7078.342529,2688,738.0,676.0,0.513,0,0.0,190,0.281065089,486,0.718934911,978,525,359,94,0.536809816,336,250,7,25,19,35,250,7,25,1,35,0,18,0,107,193,36,0.318452381,0.104261696,0.379749919,0.04746874,0.035319003,0.000988932,0.0035319,0.002684244,0.00494466,0.035319003,0.000988932,0.0035319,0.000141276,0.00494466,0.0,0.002542968,0.0,0.151730436,0,0.49704142,0.554225826,0.554225826,0.504337631,0.434564621,0.520020965,0.614540899,0.672582883,0.970565818,0.222222222,0.511415525,2.910714286,0.147974653,3.098611131,0.139137109,1.096648042,1.86282598,7.444802097,0.0,0.451945152,0.361556121,7.863845642,1.536613516,437.21,0.0,0.0,2.0,0.180778061,0.000744048,3862,6072,2762,4291,0.002995707,0.21587479,0.004528559,0.377025768,0.005496113,0.177198948,0.008517573,0.327257474,11,6,5,16,9.833333333,27489.73443,28893278.94,-0.9360079038736242,-0.9878383455529556,1.3419113112129957,-0.9337634234522536,Medium,12421248
219562,720353000000.0,720353000000.0,72,35,260902,2,490.0,"San Juan-Bayamón, PR",41980.0,"San Juan-Bayamón-Caguas, PR",2142392,0,0,9053.480591,1.7284645,9051.752127,9004.507645,2583,1175.0,918.0,0.635,153,0.166666667,255,0.277777778,510,0.555555556,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1304902,0.286856328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1304902,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.367879441,0.0,0.0,0.0,0.0,4.192655394,0.0,0.0,4.192655394,5.70628087,0.0,0.0,0.0,8.343136107,0.141409087,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,0,0,-99999,-99999,0.0,0.0,0.0,0.0,-99999.0,-99999.0,-99999.0,-99999.0,1,1,4,1,2.0,37156.86358,36638929.07,-0.9236214524560596,-1.0180106348369395,-0.7442361003629433,-1.007644046224051,Low,0
29221,40134211011.0,40134211011.0,4,13,421101,1,429.0,"Phoenix-Mesa, AZ",38060.0,"Phoenix-Mesa-Chandler, AZ",4673634,2007240,1958550,186.9449876,42.6252442,144.3197434,144.3197434,1538,496.0,470.0,0.636,84,0.178723404,110,0.234042553,276,0.587234043,569,127,250,192,0.223198594,316,95,0,153,29,39,95,0,153,28,39,1,0,0,76,139,101,0.240506329,3.436813206,10.65689256,2.189582607,0.658260594,0.0,1.060146009,0.200942708,0.270233296,0.658260594,0.0,1.060146009,0.194013649,0.270233296,0.006929059,0.0,0.0,5.626395813,0,0.672340426,0.858332213,0.739327126,0.747880023,0.578841212,0.715908975,0.718277234,0.737816484,0.960959505,0.340884574,0.714124294,1.800632911,0.449044669,23.64105377,7.317886515,6.035484903,10.28768235,90.20858611,8.86919537,22.17298843,8.86919537,93.12655139,4.434597685,726.89,0.0,0.0,2.0,8.86919537,0.00130039,154927,111122,13371,10733,0.000590444,0.614875082,0.000544463,0.754223426,0.000107806,0.043059612,0.000134623,0.065749413,17,11,13,14,13.66666667,4594.175212,756557.8638,0.6377946803357705,0.448539188810853,1.347928216691461,1.9561320397848192,High,273392278
147936,350010000000.0,350010000000.0,35,1,1300,2,106.0,"Albuquerque-Santa Fe-Las Vegas, NM",10740.0,"Albuquerque, NM",910012,383498,375390,90.4492253,0.0,90.4492253,90.44923,612,346.0,248.0,0.632,19,0.076612903,123,0.495967742,106,0.427419355,374,115,194,65,0.307486631,190,1,0,1,10,178,1,0,1,9,178,0,1,0,122,58,10,0.642105263,3.82535042,6.766226755,2.100625953,0.011055926,0.0,0.011055926,0.110559261,1.967954841,0.011055926,0.0,0.011055926,0.099503335,1.967954841,0.0,0.011055926,0.0,5.925976374,0,0.766129032,0.195717721,0.168582069,0.17921288,0.138706473,0.498342154,0.393720793,0.437292524,0.517633544,0.473815461,0.673758865,1.968421053,0.379682063,35.88335072,10.11598694,5.107000909,20.66036287,141.5300126,21.22737916,0.0,14.15158611,42.45475832,99.06110274,313.82,0.0,0.0,1.0,7.075793053,0.001633987,77959,50455,13973,5155,0.003073676,0.868585244,0.002505137,0.868461366,0.000632538,0.104120715,0.000377687,0.056088087,10,2,17,18,13.66666667,3400.508068,366039.2155,0.8212819781674305,1.339230025640651,1.339348393624664,0.4837229839847925,High,57297358
60078,90052501001.0,90052501001.0,9,5,250100,1,408.0,"New York-Newark, NY-NJ-CT-PA",45860.0,"Torrington, CT",183031,59093,95007,4921.081997,0.5201455,4920.561851,3945.36638,1006,493.0,428.0,0.541,9,0.021028037,88,0.205607477,331,0.773364486,472,91,95,286,0.19279661,233,17,39,109,66,2,17,2,109,37,2,28,1,37,48,98,87,0.206008584,0.124956709,0.254982656,0.059056619,0.004308852,0.009885014,0.027627345,0.016728484,0.000506924,0.004308852,0.000506924,0.027627345,0.00937809,0.000506924,0.007096933,0.000253462,0.00937809,0.184013329,0,0.544392523,0.772769997,0.772769997,0.716782439,0.716782439,0.606882068,0.566535372,0.565769256,0.518319739,0.376109766,0.660992908,2.025751073,0.358527084,3.970744777,0.0,1.143285463,2.827459313,7.373857112,0.0,3.771926979,0.390199343,6.503322378,0.130066448,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,15829,19607,-99999,-99999,0.004545205,0.250351907,0.004819115,0.271561336,-99999.0,-99999.0,-99999.0,-99999.0,13,16,5,1,6.833333333,22563.3108,19915346.24,-0.9262346521048476,-0.9890696061078592,-0.7442361003629433,-0.7048329696174273,Medium,20492405
189072,420293000000.0,420293000000.0,42,29,303302,1,428.0,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",37980.0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6069448,2853154,2862819,3544.129354,21.7139125,3522.415442,3399.057764,1697,716.0,716.0,0.581,0,0.0,101,0.141061453,615,0.858938547,955,182,182,591,0.190575916,467,4,12,244,76,131,4,12,244,50,131,14,12,0,110,193,164,0.235546039,0.210646611,0.499256005,0.137391016,0.001176797,0.00353039,0.071784599,0.022359138,0.038540092,0.001176797,0.00353039,0.071784599,0.014709959,0.038540092,0.004118788,0.00353039,0.0,0.348037628,0,0.652234637,0.699668474,0.699668474,0.652161181,0.610282633,0.622492532,0.638168898,0.646725191,0.91916234,0.431608133,0.656821378,2.04496788,0.351703116,5.227906757,0.0,1.93504443,3.292862327,9.997321605,0.0,6.722659604,0.545080508,5.81419209,1.090161017,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,27239,25354,-99999,-99999,3.94944e-05,0.07962734,3.90124e-05,0.09010975,-99999.0,-99999.0,-99999.0,-99999.0,14,12,5,1,6.333333333,17472.83515,14342891.97,-0.8857674638847771,-0.943538997462,-0.7442361003629433,-0.4865580069488077,Medium,58064901
181452,400138000000.0,400138000000.0,40,13,796200,2,206.0,"Dallas-Fort Worth, TX-OK",20460.0,"Durant, OK",45759,17540,17035,215.9028837,0.0,215.9028837,215.9028837,578,364.0,265.0,0.616,17,0.064150943,136,0.513207547,112,0.422641509,242,64,110,68,0.26446281,311,63,141,24,35,48,63,141,24,35,48,0,0,0,117,158,36,0.376205788,1.685943206,2.677129597,1.440462465,0.291797863,0.653071407,0.111161091,0.162109924,0.222322181,0.291797863,0.653071407,0.111161091,0.162109924,0.222322181,0.0,0.0,0.0,3.126405671,0,1.173584906,0.878569277,0.878569277,0.878569277,0.679991563,0.811168114,0.827694044,0.903956241,0.658560582,0.699662542,0.87522604,0.778135048,0.801023534,15.96801056,0.0,2.800592232,13.16741833,98.82369163,0.0,11.85718299,11.85718299,29.64295747,59.28591495,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,9499,7086,-99999,-99999,0.048143005,0.901318911,0.040915784,0.709309309,-99999.0,-99999.0,-99999.0,-99999.0,19,15,14,1,10.66666667,4771.750044,873746.6237,-0.189056374282948,0.5980556007617363,-0.7442361003629433,-0.8259267920269242,High,7694168
117508,260730000000.0,260730000000.0,26,73,900,3,394.0,"Mount Pleasant-Alma, MI",34380.0,"Mount Pleasant, MI",70775,29659,24640,9850.748741,61.0660701,9789.682671,9710.112657,938,454.0,410.0,0.608,8,0.019512195,110,0.268292683,292,0.712195122,456,101,171,184,0.221491228,27,0,0,8,7,12,0,0,8,0,12,7,0,0,21,3,3,0.777777778,0.046755379,0.096600321,0.002780606,0.0,0.0,0.000823883,0.000720898,0.001235825,0.0,0.0,0.000823883,0.0,0.001235825,0.000720898,0.0,0.0,0.049535986,0,0.065853659,0.974691318,0.665330331,0.974691318,0.51494973,0.214969134,0.28392087,0.304167343,0.006595539,0.055958549,0.111801242,16.88888889,1.2576e-07,2.345110187,0.163586853,2.181523334,0.0,1.416871258,0.130749897,1.242124021,0.588374536,0.0,0.0,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,4106,3442,-99999,-99999,0.011471036,0.276554186,0.013084865,0.356536151,-99999.0,-99999.0,-99999.0,-99999.0,3,9,2,1,3.0,29289.96908,39865438.95,-0.9631653506621856,-1.092453963834478,-0.7442361003629433,-0.9290956678965004,Low,3944362
111795,245103000000.0,245103000000.0,24,510,280102,3,548.0,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",12580.0,"Baltimore-Columbia-Towson, MD",2793250,1316328,1277911,86.6646417,0.0,86.6646417,86.6646417,228,174.0,117.0,0.439,54,0.461538462,30,0.256410256,33,0.282051282,310,77,128,105,0.248387097,141,7,0,3,128,3,7,0,3,9,3,9,110,0,76,39,26,0.539007092,2.007739219,2.6308307,1.626961091,0.080771118,0.0,0.034616193,1.476957586,0.034616193,0.080771118,0.0,0.034616193,0.10384858,0.034616193,0.10384858,1.269260426,0.0,3.634700309,0,1.205128205,0.28906199,0.248984446,0.478784571,0.41254672,0.564057255,0.431328789,0.47544147,0.497741497,0.764227642,0.625277162,2.19858156,0.301621741,21.9315526,0.0,7.963180849,13.96837175,110.7865885,0.0,29.53915172,44.30872758,14.76957586,36.92393965,297.73,0.0,0.0,10.0,73.8478793,0.043859649,121400,112495,178143,137612,0.000574142,0.576508467,0.000599507,0.67489981,0.000636699,0.178087081,0.000702991,0.258834594,12,6,15,18,14.0,2903.834374,350724.669,-0.037087711434679,0.8056734195323242,1.3390141903343142,1.3147556442203314,High,43540995
93401,180973000000.0,180973000000.0,18,97,310104,3,294.0,"Indianapolis-Carmel-Muncie, IN",26900.0,"Indianapolis-Carmel-Anderson, IN",2007497,1054199,975648,256.8547667,0.0,256.8547667,256.8547667,1639,1003.0,960.0,0.613,130,0.135416667,443,0.461458333,387,0.403125,1023,248,357,418,0.242424242,1040,453,28,0,162,397,453,28,0,44,397,34,84,0,431,435,174,0.414423077,3.904930451,6.381037896,4.048980727,1.763642567,0.10901102,0.0,0.630706613,1.545620528,1.763642567,0.10901102,0.0,0.171303031,1.545620528,0.132370524,0.327033059,0.0,7.953911178,0,1.083333333,0.805440593,0.693768765,0.712043041,0.613534854,0.790939115,0.734258957,0.817437833,0.510957876,0.776409108,0.991759573,0.983653846,0.98378672,20.83390969,0.141340141,5.073429975,15.61913958,122.9743968,0.0,29.90016537,12.45840224,124.5840224,7.475041342,-99999.0,0.0,0.0,6.0,14.95008268,0.003660769,109279,71840,-99999,-99999,0.001116116,0.602549611,0.000926837,0.592489959,-99999.0,-99999.0,-99999.0,-99999.0,18,12,16,1,10.66666667,4857.777538,1039479.544,0.8588637703958314,1.017194608951394,-0.7442361003629433,1.0828791479445787,High,253821881
